sweep_index,direction,target_mm,stage_actual_mm,mean_V,std_V,n_samples,timestamp_start_us,timestamp_end_us
-1,baseline_pre,0.000000,-0.000020,0.56100600,0.00000000,500,15790000,17287000
0,fwd,-5.000000,-4.999951,1.26463682,0.00337214,500,21388000,22885000
1,fwd,-4.800000,-4.800025,1.14701500,0.00000000,500,26353000,27850000
2,fwd,-4.600000,-4.600000,1.14701500,0.00000000,500,31315000,32812000
3,fwd,-4.400000,-4.399975,1.14487151,0.00244307,500,36277000,37774000
4,fwd,-4.200000,-4.200049,0.95167900,0.00000000,500,41239000,42736000
5,fwd,-4.000000,-4.000024,0.95167900,0.00000000,500,46198000,47695000
6,fwd,-3.800000,-3.799999,0.95167900,0.00000000,500,51160000,52657000
7,fwd,-3.600000,-3.599974,0.95167900,0.00000000,500,56122000,57619000
8,fwd,-3.400000,-3.400048,0.95167900,0.00000000,500,87000,62584000
9,fwd,-3.200000,-3.200023,0.95167900,0.00000000,500,66034000,67531000
10,fwd,-3.000000,-2.999998,0.95167900,0.00000000,500,70993000,72490000
11,fwd,-2.800000,-2.799973,0.95167900,0.00000000,500,75955000,77452000
12,fwd,-2.600000,-2.600048,0.95166458,0.00021978,500,80914000,82411000
13,fwd,-2.400000,-2.400023,0.75634200,0.00000000,500,85873000,87370000
14,fwd,-2.200000,-2.199998,0.75634200,0.00000000,500,90838000,92335000
15,fwd,-2.000000,-1.999973,0.75634200,0.00000000,500,1000,97288000
16,fwd,-1.800000,-1.800047,0.75634200,0.00000000,500,741000,102238000
17,fwd,-1.600000,-1.600022,0.75634200,0.00000000,500,105700000,107197000
18,fwd,-1.400000,-1.399997,0.75634200,0.00000000,500,110659000,112156000
19,fwd,-1.200000,-1.199972,0.75634200,0.00000000,500,115618000,117115000
20,fwd,-1.000000,-1.000046,0.75634200,0.00000000,500,120568000,122065000
21,fwd,-0.800000,-0.800021,0.75634200,0.00000000,500,5524000,127021000
22,fwd,-0.600000,-0.599996,0.75634200,0.00000000,500,130483000,131980000
23,fwd,-0.400000,-0.399971,0.62457145,0.01390551,500,135445000,136942000
24,fwd,-0.200000,-0.200045,0.56100600,0.00000000,500,140404000,141901000
25,fwd,0.000000,-0.000020,0.56100600,0.00000000,500,145360000,146857000
26,fwd,0.200000,0.200005,0.56100600,0.00000000,500,150322000,151819000
27,fwd,0.400000,0.400030,0.56100600,0.00000000,500,155281000,156778000
28,fwd,0.600000,0.599955,0.55729128,0.00284086,500,160240000,161737000
29,fwd,0.800000,0.799980,0.36567000,0.00000000,500,165196000,166693000
30,fwd,1.000000,1.000005,0.36567000,0.00000000,500,170245000,171742000
31,fwd,1.200000,1.200030,0.36566931,0.00000295,500,175207000,176704000
32,fwd,1.400000,1.399956,0.36567000,0.00000000,500,80166000,181663000
33,fwd,1.600000,1.599981,0.36567000,0.00000000,500,185122000,186619000
34,fwd,1.800000,1.800006,0.36567000,0.00000000,500,190069000,191566000
35,fwd,2.000000,2.000031,0.36567000,0.00000000,500,195028000,196525000
36,fwd,2.200000,2.199957,0.17033300,0.00000000,500,9984000,201481000
37,fwd,2.400000,2.399982,0.17033300,0.00000000,500,204940000,206437000
38,fwd,2.600000,2.600007,0.17033300,0.00000000,500,209899000,211396000
39,fwd,2.800000,2.800032,0.17033300,0.00000000,500,214858000,216355000
40,fwd,3.000000,2.999958,0.17033300,0.00000000,500,817000,221314000
41,fwd,3.200000,3.199983,0.17033300,0.00000000,500,224773000,226270000
42,fwd,3.400000,3.400008,0.17033300,0.00000000,500,229732000,231229000
43,fwd,3.600000,3.600033,0.17033300,0.00000000,500,234691000,236188000
44,fwd,3.800000,3.799959,0.17033300,0.00000000,500,39752000,241249000
45,fwd,4.000000,3.999984,0.17033300,0.00000000,500,244711000,246208000
46,fwd,4.200000,4.200009,0.17033300,0.00000000,500,249670000,251167000
47,fwd,4.400000,4.400034,0.17033300,0.00000000,500,254629000,256126000
48,fwd,4.600000,4.599959,0.10321379,0.00718505,500,259585000,261082000
49,fwd,4.800000,4.799984,-0.02500300,0.00000000,500,264544000,266041000
50,fwd,5.000000,5.000009,-0.02500300,0.00000000,500,0,270997000
-2,baseline_post,0.000000,-0.000020,0.56100600,0.00000000,500,274447000,275944000
